Feature,DecisionTree_Importance,RandomForest_Importance,Mean_Importance
apache_4a_icu_death_prob,0.006679137919568397,0.08204143983986478,0.04436028887971659
aids,8.585396115004792e-05,5.210734801217419e-05,6.898065458111106e-05
cirrhosis,3.187842378133657e-05,0.0003932195362661972,0.00021254898002376688
diabetes_mellitus,0.0008322020189466267,0.0011111326331925224,0.0009716673260695746
hepatic_failure,0.0005662745511561577,0.0004619184006116161,0.0005140964758838869
immunosuppression,0.0005077446325202378,0.0006075975329575421,0.00055767108273889
leukemia,0.00016278094805646746,0.00018859169243248255,0.00017568632024447502
lymphoma,2.9690569743853697e-05,0.0001681170497724935,9.89038097581736e-05
solid_tumor_with_metastasis,0.0008501002995112107,0.0007774479224056412,0.000813774110958426
apache_3j_bodysystem,0.0026608575859054704,0.004313736986467266,0.0034872972861863683
apache_2_bodysystem,0.002177174784648379,0.0035930805492526813,0.00288512766695053
